CustomerID,DOB,Gender,Provider,AcquiredDate
88,NULL,NULL,Reliance,29-10-2015
89,NULL,NULL,AIRCEL,29-10-2015
90,NULL,female,IND airtel,29-10-2015
91,NULL,NULL,Vodafone IN,29-10-2015
92,NULL,Male,IND airtel,29-10-2015
93,NULL,female,tata,29-10-2015
94,NULL,NULL,VODAFONE IN,29-10-2015
95,NULL,NULL,VODAFONE IN,29-10-2015
96,NULL,female,Aircel,29-10-2015
97,NULL,Male,TATA DOCOMO,29-10-2015
98,NULL,male,IND AirTel,29-10-2015
99,NULL,NULL,VODAFONE IN,29-10-2015
100,NULL,Male,Vodafone IN,29-10-2015
101,NULL,NULL,VODAFONE IN,29-10-2015
102,NULL,male,!dea,29-10-2015
103,NULL,NULL,RELIANCE 4G,30-10-2015
104,NULL,male,Vodafone IN,30-10-2015
105,NULL,male,VODAFONE IN,30-10-2015
106,NULL,NULL,Vodafone IN,30-10-2015
107,NULL,male,Vodafone IN,30-10-2015
108,NULL,NULL,VODAFONE IN,30-10-2015
109,NULL,NULL,Airtel,30-10-2015
110,NULL,NULL,VODAFONE IN,30-10-2015
111,NULL,NULL,Vodafone,30-10-2015
112,11-04-1986,male,IND airtel,30-10-2015
113,NULL,NULL,IND airtel,30-10-2015
114,NULL,NULL,,30-10-2015
115,NULL,male,VODAFONE IN,30-10-2015
116,NULL,Male,,30-10-2015
117,01-07-1983,female,Vodafone IN,30-10-2015
118,NULL,NULL,AT&T,30-10-2015
119,NULL,female,Vodafone IN,31-10-2015
120,NULL,NULL,Vodafone,31-10-2015
121,NULL,male,TATA DOCOMO,31-10-2015
122,NULL,male,Aircel,31-10-2015
123,NULL,NULL,IND airtel,31-10-2015
124,NULL,NULL,Vodafone IN,01-11-2015
125,NULL,Male,Airtel,01-11-2015
126,NULL,NULL,Vodafone,01-11-2015
127,NULL,female,VODAFONE IN,02-11-2015
128,NULL,Female,IND airtel,03-11-2015
129,NULL,NULL,Vodafone IN,03-11-2015
130,NULL,male,Vodafone,04-11-2015
131,NULL,NULL,Vodafone IN,05-11-2015
132,NULL,female,Vodafone,05-11-2015
133,NULL,Male,Vodafone IN,07-11-2015
134,NULL,female,Vodafone IN,08-11-2015
135,NULL,NULL,IND airtel,10-11-2015
136,NULL,male,airtel,12-11-2015
137,NULL,male,Vodafone,14-11-2015
138,07/15/1989,female,,14-11-2015
139,NULL,NULL,VODAFONE IN,15-11-2015
140,NULL,NULL,VODAFONE IN,15-11-2015
141,NULL,NULL,Vodafone IN,16-11-2015
142,NULL,NULL,Airtel,16-11-2015
143,NULL,male,VODAFONE IN,16-11-2015
144,NULL,NULL,Airtel,16-11-2015
145,NULL,NULL,Reliance,17-11-2015
146,NULL,male,VODAFONE IN,17-11-2015
147,NULL,male,Reliance,18-11-2015
148,NULL,NULL,IND airtel,18-11-2015
149,NULL,NULL,Vodafone,20-11-2015
150,NULL,male,Vodafone IN,20-11-2015
151,NULL,male,airtel,20-11-2015
152,NULL,Male,airtel,21-11-2015
153,22-11-2015,Male,VODAFONE IN,22-11-2015
154,NULL,NULL,Airtel,23-11-2015
155,NULL,NULL,IND airtel,23-11-2015
156,NULL,NULL,airtel,24-11-2015
157,25-11-2015,Male,VODAFONE IN,25-11-2015
158,NULL,NULL,Vodafone,26-11-2015
159, ,Female,Vodafone IN,28-11-2015
160, ,Male,IND airtel,28-11-2015
161,NULL,NULL,IND airtel,29-11-2015
162,NULL,NULL,VODAFONE IN,29-11-2015
163,06-11-1995,male,Vodafone IN,29-11-2015
164,NULL,NULL,airtel,29-11-2015
165, ,Male,IND airtel,29-11-2015
166,07-09-1977,male,Vodafone IN,29-11-2015
167,10/15/1989,female,airtel,29-11-2015
168,NULL,NULL,TATA DOCOMO,29-11-2015
169,NULL,NULL,,29-11-2015
170,NULL,NULL,Vodafone IN,29-11-2015
171, ,Male,Vodafone IN,30-11-2015
172,NULL,NULL,IND airtel,30-11-2015
173,NULL,NULL,VODAFONE IN,30-11-2015
174,06-01-1989,male,IND airtel,30-11-2015
175,NULL,NULL,Vodafone IN,30-11-2015
176,NULL,NULL,VODAFONE IN,30-11-2015
177,11/16/1980,male,airtel,30-11-2015
178,NULL,NULL,Vodafone IN,30-11-2015
179,01/26/1982,male,Vodafone IN,30-11-2015
180,02/28/1989,male,TATA DOCOMO,30-11-2015
181,NULL,NULL,VODAFONE IN,30-11-2015
182,NULL,NULL,VODAFONE IN,30-11-2015
183,12/25/1972,male,Airtel,30-11-2015
184,07/20/1981,male,airtel,30-11-2015
185,NULL,NULL,AirTel,30-11-2015
186, ,Male,IND airtel,30-11-2015
187,NULL,NULL,Vodafone,30-11-2015
188,NULL,NULL,IND airtel,01-12-2015
189,01/26/1991,male,Airtel,01-12-2015
190,05-02-1985,male,Vodafone IN,02-12-2015
191,06-01-1968,male,TATA DOCOMO,03-12-2015
192, ,Male,Vodafone IN,03-12-2015
193, ,Male,Vodafone IN,03-12-2015
194,NULL,NULL,IND airtel,03-12-2015
195,NULL,NULL,Vodafone,03-12-2015
196,NULL,NULL,airtel,03-12-2015
197,04/17/1986,male,Vodafone IN,03-12-2015
198, ,Male,Vodafone IN,03-12-2015
199,NULL,NULL,IND airtel,03-12-2015
200,10/26/1973,male,AirTel,03-12-2015
201,12-08-1984,female,VODAFONE IN,03-12-2015
202,07/22/1975,male,VODAFONE IN,03-12-2015
203, ,Male,Airtel Mumbai,03-12-2015
204,NULL,NULL,Vodafone IN,03-12-2015
205,NULL,NULL,Aircel,03-12-2015
206,NULL,NULL,Vodafone IN,03-12-2015
207,NULL,NULL,BSNL MOBILE,04-12-2015
208,NULL,NULL,Vodafone IN,04-12-2015
209,NULL,NULL,VODAFONE IN,04-12-2015
210,02/27/1993,male,Reliance,04-12-2015
211,07-03-1981,male,VODAFONE IN,04-12-2015
212, ,Male,airtel,04-12-2015
213, ,Female,Airtel Mumbai,04-12-2015
214,NULL,NULL,IND airtel,05-12-2015
215,11-02-1989,male,Reliance,05-12-2015
216,NULL,NULL,airtel,05-12-2015
217,NULL,NULL,IND airtel,05-12-2015
218,NULL,NULL,airtel,05-12-2015
219,10-02-1988,male,Vodafone IN,05-12-2015
220,NULL,NULL,airtel,05-12-2015
221,NULL,NULL,Vodafone IN,05-12-2015
222,NULL,NULL,VODAFONE IN,05-12-2015
223,08/21/1985,female,VODAFONE IN,06-12-2015
224,06/27/1986,female,40431,06-12-2015
225,07-05-1985,male,AirTel,06-12-2015
226,04/20/1978,male,VODAFONE IN,06-12-2015
227,NULL,NULL,VODAFONE IN,06-12-2015
228, ,Male,AirTel,06-12-2015
229,NULL,NULL,Idea,07-12-2015
230,NULL,NULL,airtel,07-12-2015
231, ,Male,Reliance,07-12-2015
232,NULL,NULL,AIRCEL,07-12-2015
233,NULL,NULL,IDEA Bihar,08-12-2015
234,NULL,NULL,Vodafone IN,08-12-2015
235,04-01-1985,male,Vodafone IN,09-12-2015
236,02-03-1987,male,Aircel,09-12-2015
237, ,Male,Vodafone IN,09-12-2015
238, ,Male,Airtel,10-12-2015
239, ,Male,Dolphin,10-12-2015
240,NULL,NULL,IND airtel,10-12-2015
241,NULL,NULL,Airtel,10-12-2015
242, ,Male,Idea,11-12-2015
244, ,Female,Vodafone IN,11-12-2015
245,10-05-1983,male,Vodafone IN,12-12-2015
246, ,Male,Vodafone IN,12-12-2015
247,05-12-1990,male,Reliance,12-12-2015
248,NULL,NULL,VODAFONE IN,12-12-2015
249,11-02-1995,male,TATA DOCOMO,12-12-2015
250, ,Male,VODAFONE IN,12-12-2015
251,NULL,NULL,airtel,12-12-2015
252,05-04-1986,male,Telenor,13-12-2015
253,NULL,NULL,Vodafone IN,13-12-2015
254, ,Male,Vodafone IN,13-12-2015
255, ,Male,Airtel,13-12-2015
256,NULL,NULL,Vodafone IN,13-12-2015
257,09/25/1987,male,VODAFONE IN,14-12-2015
258,NULL,NULL,AirTel,14-12-2015
259, ,Male,TATA DOCOMO,14-12-2015
260,12/19/1996,female,Vodafone,14-12-2015
261,NULL,NULL,VODAFONE IN,14-12-2015
262,08-02-1979,male,Airtel,15-12-2015
263,NULL,NULL,Airtel,15-12-2015
264,NULL,NULL,Vodafone IN,16-12-2015
265,NULL,NULL,Vodafone IN,16-12-2015
266, ,Female,Idea,16-12-2015
267,04/21/1992,male,VODAFONE IN,16-12-2015
268, ,Male,IND airtel,16-12-2015
269,07-02-1991,male,IDEA,16-12-2015
270,NULL,NULL,,16-12-2015
271,NULL,NULL,Airtel,17-12-2015
272,NULL,NULL,TATA DOCOMO,17-12-2015
273,01-05-1997,male,,18-12-2015
274,NULL,NULL,Reliance,18-12-2015
275, ,Male,Idea,18-12-2015
276, ,Male,Vodafone IN,18-12-2015
277, ,Male,40410,18-12-2015
278, ,Male,AIRCEL,19-12-2015
279,07-04-1992,male,VODAFONE IN,19-12-2015
280,NULL,NULL,VODAFONE IN,19-12-2015
281,12-02-1983,male,Reliance,20-12-2015
282, ,Male,AirTel,21-12-2015
283,NULL,NULL,VODAFONE IN,21-12-2015
284,NULL,NULL,Reliance,21-12-2015
285,08-02-1980,male,Reliance,21-12-2015
286, ,Male,Airtel,21-12-2015
287,NULL,NULL,International,22-12-2015
288,NULL,NULL,TATA DOCOMO,22-12-2015
289,NULL,NULL,Vodafone,23-12-2015
290,07/19/1989,male,Reliance,23-12-2015
291,NULL,NULL,airtel,23-12-2015
292,10/16/1993,male,IDEA,23-12-2015
293,09-10-1995,male,Airtel,25-12-2015
294,NULL,NULL,Reliance,25-12-2015
295,NULL,NULL,Reliance,26-12-2015
296,NULL,NULL,!dea,27-12-2015
297,09/29/1970,male,IND airtel,28-12-2015
298,05/18/1993,male,TATA DOCOMO,28-12-2015
299,NULL,NULL,!dea,29-12-2015
300,06/22/1990,male,Idea,29-12-2015
301,NULL,NULL,Reliance,29-12-2015
302,NULL,NULL,VODAFONE IN,29-12-2015
303,05/31/1997,male,Aircel,30-12-2015
304, ,Male,VODAFONE IN,31-12-2015
305,NULL,NULL,VODAFONE IN,31-12-2015
306, ,Male,VODAFONE IN,01-01-2016
307,NULL,NULL,TATA DOCOMO,01-01-2016
308,04-04-1994,male,,01-01-2016
309,02-02-1980,female,Boost Mobile,06-01-2016
310,06/29/1994,male,AirTel,06-01-2016
311, ,Male,IDEA,09-01-2016
312,NULL,NULL,airtel,09-01-2016
313,08-03-1984,female,TATA DOCOMO,12-01-2016
314, ,Male,Idea,13-01-2016
315,02/22/1981,male,Airtel,13-01-2016
316,06/15/1981,male,Idea Cellular,13-01-2016
317,NULL,NULL,TATA DOCOMO,14-01-2016
318,06/19/1990,male,IND airtel,15-01-2016
319, ,Male,Vodafone IN,16-01-2016
320,NULL,NULL,VODAFONE IN,17-01-2016
321,02-03-1988,male,VODAFONE IN,18-01-2016
322,01/24/1992,male,Vodafone IN,18-01-2016
323,NULL,NULL,airtel,18-01-2016
324,NULL,NULL,AIRCEL,18-01-2016
325,NULL,NULL,IND airtel,18-01-2016
326,NULL,NULL,Aircel,18-01-2016
327,NULL,NULL,telenor,18-01-2016
328,NULL,NULL,TATA DOCOMO,18-01-2016
329,NULL,NULL,!dea,18-01-2016
330, ,Male,airtel,18-01-2016
331, ,Male,VODAFONE IN,18-01-2016
332,NULL,NULL,Telenor,18-01-2016
333, ,Male,airtel,18-01-2016
334,08/20/1996,male,Idea,18-01-2016
335, ,Male,Reliance,18-01-2016
336,NULL,NULL,airtel,18-01-2016
337,NULL,NULL,TATA DOCOMO,18-01-2016
338,NULL,NULL,IDEA,18-01-2016
339,06/15/1996,male,Reliance,18-01-2016
340, ,Male,Reliance M.P.,18-01-2016
341,NULL,NULL,IND airtel,18-01-2016
342,NULL,NULL,Idea,18-01-2016
343,NULL,NULL,TATA DOCOMO,18-01-2016
344,NULL,NULL,Reliance,18-01-2016
345,NULL,NULL,null,18-01-2016
346,NULL,NULL,Vodafone IN,18-01-2016
347,NULL,NULL,TATA DOCOMO,18-01-2016
348,NULL,NULL,!dea,18-01-2016
349,NULL,NULL,TATA DOCOMO,18-01-2016
350,09/15/1985,male,Vodafone IN,18-01-2016
351,NULL,NULL,BSNL MOBILE,18-01-2016
352, ,Male,AIRCEL,18-01-2016
353,NULL,NULL,Aircel,18-01-2016
354,NULL,NULL,Vodafone IN,18-01-2016
355,NULL,NULL,airtel,18-01-2016
356,NULL,NULL,Vodafone IN,18-01-2016
357, ,Male,,18-01-2016
358,NULL,NULL,AIRCEL,18-01-2016
359,NULL,NULL,CellOne,18-01-2016
360,10/27/1964,male,IND airtel,18-01-2016
361,NULL,NULL,Airtel,18-01-2016
362,NULL,NULL,IND airtel,18-01-2016
363, ,Male,IDEA,18-01-2016
364,NULL,NULL,Vodafone IN,18-01-2016
365,06-06-1977,male,airtel,18-01-2016
366,11-12-1989,female,Airtel,18-01-2016
367, ,Male,Reliance,18-01-2016
368,NULL,NULL,Reliance,18-01-2016
369, ,Male,AIRCEL,18-01-2016
370,NULL,NULL,Aircel,18-01-2016
371,NULL,NULL,IDEA,18-01-2016
372,NULL,NULL,AIRCEL,18-01-2016
373,NULL,NULL,airtel,18-01-2016
374,NULL,NULL,airtel,18-01-2016
375,NULL,NULL,Vodafone IN,18-01-2016
376,NULL,NULL,VODAFONE IN,18-01-2016
377,NULL,NULL,Vodafone,18-01-2016
378, ,Male,airtel,18-01-2016
379,NULL,NULL,Aircel,18-01-2016
380,NULL,NULL,IDEA A.P.,18-01-2016
381,NULL,NULL,airtel,18-01-2016
382,NULL,NULL,BSNL MOBILE,18-01-2016
383,NULL,NULL,airtel,18-01-2016
384,NULL,NULL,airtel,18-01-2016
385,NULL,NULL,TATA DOCOMO,18-01-2016
386, ,Male,Idea,18-01-2016
387,NULL,NULL,CellOne,18-01-2016
388,10/22/1996,female,airtel,18-01-2016
389, ,Male,AIRCEL,18-01-2016
390,NULL,NULL,AIRCEL,18-01-2016
391,NULL,NULL,Airtel,18-01-2016
392,NULL,NULL,Vodafone IN,18-01-2016
393,NULL,NULL,40490,18-01-2016
394,NULL,NULL,"""O2 - UK""",18-01-2016
395,NULL,NULL,VODAFONE IN,18-01-2016
396,NULL,NULL,!dea,18-01-2016
397,NULL,NULL,TATA DOCOMO,18-01-2016
398,NULL,NULL,airtel,18-01-2016
399,NULL,NULL,Aircel,18-01-2016
400, ,Male,Idea,18-01-2016
401,NULL,NULL,Aircel,18-01-2016
402,NULL,NULL,,18-01-2016
403, ,Male,TATA DOCOMO,18-01-2016
404,NULL,NULL,,18-01-2016
405,NULL,NULL,Reliance,18-01-2016
406,NULL,NULL,40471,18-01-2016
407,NULL,NULL,Airtel,18-01-2016
408,NULL,NULL,TATA DOCOMO,18-01-2016
409,NULL,NULL,!dea,18-01-2016
410,NULL,NULL,TATA DOCOMO,18-01-2016
411,NULL,NULL,Airtel,18-01-2016
412,NULL,NULL,BSNL Mobile,18-01-2016
413,NULL,NULL,airtel,18-01-2016
414, ,Female,airtel,18-01-2016
415,NULL,NULL,BSNL Mobile,18-01-2016
416, ,Male,Videocon,18-01-2016
417,NULL,NULL,VODAFONEIN,18-01-2016
418,NULL,NULL,VODAFONE IN,18-01-2016
419,NULL,NULL,TATA DOCOMO,18-01-2016
420,NULL,NULL,Vodafone IN,18-01-2016
421,NULL,NULL,IDEA,18-01-2016
422,NULL,NULL,Aircel,18-01-2016
423,NULL,NULL,Reliance,18-01-2016
424,NULL,NULL,TATA DOCOMO,18-01-2016
425,NULL,NULL,airtel,18-01-2016
426,NULL,NULL,IND airtel,18-01-2016
427,NULL,NULL,DEFACE,18-01-2016
428, ,Male,TATA DOCOMO,18-01-2016
429, ,Male,airtel,18-01-2016
430,NULL,NULL,TATA DOCOMO,18-01-2016
431, ,Male,Reliance,18-01-2016
432,NULL,NULL,Telenor,18-01-2016
433,NULL,NULL,Aircel Bihar,18-01-2016
434,NULL,NULL,!dea,18-01-2016
435,NULL,NULL,,18-01-2016
436,03/31/1998,male,Vodafone,18-01-2016
437,NULL,NULL,Reliance,18-01-2016
438,NULL,NULL,IND AirTel,18-01-2016
439,NULL,NULL,IND airtel,18-01-2016
440,NULL,NULL,Cellone A.P.,18-01-2016
441, ,Male,"""Orange F""",18-01-2016
442,NULL,NULL,TATA DOCOMO,18-01-2016
443,05-05-1995,male,IND airtel,18-01-2016
444,NULL,NULL,Vodafone IN,18-01-2016
445, ,Male,!dea,18-01-2016
446,NULL,NULL,Vodafone IN,18-01-2016
447,NULL,NULL,Vodafone IN,18-01-2016
448,NULL,NULL,IND airtel,18-01-2016
449,NULL,NULL,TATA DOCOMO,18-01-2016
450,NULL,NULL,AIRCEL,18-01-2016
451,NULL,NULL,Vodafone IN,18-01-2016
452, ,Male,Vodafone IN,18-01-2016
453,NULL,NULL,VODAFONE IN,18-01-2016
454,08/31/1993,male,Reliance,18-01-2016
455,01/15/1997,male,Aircel,18-01-2016
456,NULL,NULL,Vodafone IN,18-01-2016
457,NULL,NULL,airtel,18-01-2016
458,NULL,NULL,TATA DOCOMO,18-01-2016
459,NULL,NULL,IDEA,18-01-2016
460,NULL,NULL,VODAFONE IN,18-01-2016
461,NULL,NULL,IDEA,18-01-2016
462,05/28/1999,male,Vodafone IN,18-01-2016
463,NULL,NULL,Airtel,18-01-2016
464,NULL,NULL,,18-01-2016
465,NULL,NULL,Vodafone,18-01-2016
466,NULL,NULL,,18-01-2016
467, ,Male,airtel,18-01-2016
468,NULL,NULL,Vodafone IN,18-01-2016
469,NULL,NULL,BSNL Mobile,18-01-2016
470,NULL,NULL,airtel,18-01-2016
471,NULL,NULL,Reliance,18-01-2016
472,NULL,NULL,Aircel,18-01-2016
473,NULL,NULL,Uninor,18-01-2016
474,NULL,NULL,IDEA,18-01-2016
475, ,Male,VODAFONE IN,18-01-2016
476,NULL,NULL,Airtel Rajasthan,18-01-2016
477,NULL,NULL,IDEA,18-01-2016
478, ,Male,Airtel,18-01-2016
479,NULL,NULL,Airtel,18-01-2016
480,NULL,NULL,,18-01-2016
481,NULL,NULL,airtel,18-01-2016
482, ,Female,Vodafone IN,18-01-2016
483,NULL,NULL,,18-01-2016
484,NULL,NULL,VODAFONE IN,18-01-2016
485,NULL,NULL,VODAFONE IN,18-01-2016
486,NULL,NULL,TATA DOCOMO,18-01-2016
487, ,Male,SoftBank,18-01-2016
488,NULL,NULL,Vodafone IN,18-01-2016
489, ,Male,IDEA,18-01-2016
490,NULL,NULL,Airtel,18-01-2016
491,09-06-1994,male,Airtel,18-01-2016
492, ,Male,Vodafone IN,18-01-2016
493,NULL,NULL,VODAFONE IN,18-01-2016
494, ,Male,Dolphin,18-01-2016
495,NULL,NULL,Reliance,18-01-2016
496,NULL,NULL,Vodafone IN,18-01-2016
497,NULL,NULL,TATA DOCOMO,18-01-2016
498,NULL,NULL,IND airtel,18-01-2016
499,11-01-1991,male,TATA DOCOMO,18-01-2016
500, ,Male,airtel,18-01-2016
501,NULL,NULL,TATA DOCOMO,18-01-2016
502,NULL,NULL,Vodafone IN,18-01-2016
503,NULL,NULL,AIRCEL,18-01-2016
504,NULL,NULL,Reliance,18-01-2016
505,NULL,NULL,Aircel,18-01-2016
506,NULL,NULL,airtel,18-01-2016
507,NULL,NULL,!dea,18-01-2016
508,NULL,NULL,airtel,18-01-2016
509,05-01-1986,male,Airtel,18-01-2016
510,NULL,NULL,Reliance,18-01-2016
511, ,Male,,18-01-2016
512,NULL,NULL,Vodafone IN,18-01-2016
513,NULL,NULL,CellOne,18-01-2016
514,NULL,NULL,Vodafone IN,18-01-2016
515,NULL,NULL,IND airtel,18-01-2016
516,NULL,NULL,IDEA,18-01-2016
517,NULL,NULL,IDEA,18-01-2016
518,NULL,NULL,TATA DOCOMO,18-01-2016
519, ,Male,,18-01-2016
520,NULL,NULL,VODAFONE IN,18-01-2016
521,NULL,NULL,Vodafone IN,18-01-2016
522,NULL,NULL,Vodafone,18-01-2016
523, ,Male,!dea,18-01-2016
524,NULL,NULL,Idea,18-01-2016
525,NULL,NULL,IND AirTel,18-01-2016
526,NULL,NULL,,18-01-2016
527,12-11-1988,male,uninor,18-01-2016
528,NULL,NULL,Airtel,18-01-2016
529,NULL,NULL,IDEA,18-01-2016
530,NULL,NULL,!dea,18-01-2016
531,NULL,NULL,Vodafone IN,18-01-2016
532,NULL,NULL,Reliance,18-01-2016
533,NULL,NULL,Vodafone IN,18-01-2016
534,NULL,NULL,Vodafone IN,18-01-2016
535,06-06-1994,male,IDEA,18-01-2016
536,NULL,NULL,Idea,18-01-2016
537,NULL,NULL,airtel,18-01-2016
538,NULL,NULL,IDEA,18-01-2016
539,NULL,NULL,TATA DOCOMO,18-01-2016
540, ,Male,airtel,18-01-2016
541,NULL,NULL,!dea,18-01-2016
542,NULL,NULL,Telenor,18-01-2016
543,NULL,NULL,Aircel,18-01-2016
544,NULL,NULL,Reliance,18-01-2016
545,NULL,NULL,Reliance,18-01-2016
546,NULL,NULL,Vodafone IN,18-01-2016
547,NULL,NULL,Reliance,18-01-2016
548,01/29/1976,male,TATA DOCOMO,18-01-2016
549,NULL,NULL,Vodafone IN,18-01-2016
550,NULL,NULL,Vodafone Mumbai,18-01-2016
551,NULL,NULL,airtel,18-01-2016
552, ,Male,airtel,18-01-2016
553, ,Male,AIRTEL,18-01-2016
554,NULL,NULL,Vodafone IN,18-01-2016
555,03/15/1995,male,Vodafone IN,18-01-2016
556,NULL,NULL,TATA DOCOMO,18-01-2016
557,09-05-1997,male,Airtel,18-01-2016
558,NULL,NULL,AIRCEL,18-01-2016
559,NULL,NULL,Vodafone IN,18-01-2016
560,NULL,NULL,airtel,18-01-2016
561, ,Male,Vodafone IN,18-01-2016
562,NULL,NULL,Reliance,18-01-2016
563,NULL,NULL,Vodafone IN,18-01-2016
564,NULL,NULL,VODAFONE IN,18-01-2016
565,NULL,NULL,Vodafone,18-01-2016
566,NULL,NULL,Vodafone T.N.,18-01-2016
567,NULL,NULL,TATA DOCOMO,18-01-2016
568,NULL,NULL,IDEA,18-01-2016
569,NULL,NULL,CellOne,18-01-2016
570,NULL,NULL,TATA DOCOMO,18-01-2016
571, ,Male,IND AirTel,18-01-2016
572,NULL,NULL,!DEA,18-01-2016
573,NULL,NULL,Aircel,18-01-2016
574,NULL,NULL,TATA DOCOMO,18-01-2016
575,02-08-1988,Male,TATA DOCOMO,18-01-2016
576,NULL,NULL,Aircel,18-01-2016
577,NULL,NULL,VODAFONE IN,18-01-2016
578,NULL,NULL,Vodafone IN,18-01-2016
579,10/22/1992,male,!dea,18-01-2016
580,NULL,NULL,Vodafone IN,18-01-2016
581,NULL,NULL,VODAFONE IN,18-01-2016
582,NULL,NULL,IND airtel,18-01-2016
583, ,Male,UNINOR,18-01-2016
584,NULL,NULL,BSNL,18-01-2016
585,NULL,NULL,IND airtel,18-01-2016
586,NULL,NULL,Vodafone IN,18-01-2016
587,NULL,NULL,Aircel,18-01-2016
588,11-04-1985,male,Idea,18-01-2016
589,NULL,NULL,Vodafone IN,18-01-2016
590,NULL,NULL,Reliance,18-01-2016
591,12/16/1990,male,tata,18-01-2016
592,NULL,NULL,,18-01-2016
593,NULL,NULL,Vodafone IN,18-01-2016
594,NULL,NULL,Vodafone IN,18-01-2016
595,NULL,NULL,IND airtel,18-01-2016
596,NULL,NULL,!dea,18-01-2016
597,NULL,NULL,Airtel,18-01-2016
598,01/29/1992,male,Idea,18-01-2016
599, ,Male,,18-01-2016
600,NULL,NULL,"""Orange F""",18-01-2016
601, ,Male,IDEA,18-01-2016
602,NULL,NULL,airtel,18-01-2016
603,NULL,NULL,Reliance,19-01-2016
604,NULL,NULL,Vodafone IN,19-01-2016
605, ,Male,TATA DOCOMO,19-01-2016
606,NULL,NULL,Reliance,19-01-2016
607,NULL,NULL,!dea,19-01-2016
608,NULL,NULL,airtel,19-01-2016
609,NULL,NULL,airtel,19-01-2016
610,NULL,NULL,VODAFONE IN,19-01-2016
611,01/20/1995,male,Reliance,19-01-2016
612, ,Male,Vodafone IN,19-01-2016
613,NULL,NULL,airtel,19-01-2016
614, ,Male,IDEA,19-01-2016
615,NULL,NULL,airtel,19-01-2016
616,NULL,NULL,Reliance,19-01-2016
617,NULL,NULL,airtel,19-01-2016
618,01/21/1992,male,!dea,19-01-2016
619,NULL,NULL,BSNL MOBILE,19-01-2016
620,NULL,NULL,Reliance,19-01-2016
621,NULL,NULL,Airtel Bihar,19-01-2016
622,NULL,NULL,Airtel,19-01-2016
623,01/21/1990,female,Vodafone IN,19-01-2016
624,NULL,NULL,RELIANCE,19-01-2016
